Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pakistan,Gross Domestic Product (GDP) per Capita in US$,,560,518,554,614,688,760,862,941,915,956,"1,010","1,200","1,195","1,207","1,345","1,425","1,463","1,558","1,464","1,307","1,292",
Pakistan,Population (in thousands),,"154,370","159,218","163,263","166,877","170,649","174,372","178,070","181,925","185,932","190,123","194,454","198,603","202,206","205,338","208,252","210,969","213,525","216,380","219,731","223,293","227,197",
Qatar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,4,3,3,2,2,2,2,2,2,2,2,2,4,4,3,3,4,4,
Qatar,Current Health Expenditure (CHE) per Capita in US$,,552,598,667,"1,110","1,254","1,348","1,322","1,277","1,277","1,305","1,307","1,488","1,714","2,027","2,256","2,470","2,153","2,041","2,156","2,208","2,188",
Qatar,Current Health Expenditure (CHE),in million current US$,357,406,476,831,976,"1,144","1,341","1,573","1,844","2,102","2,239","2,684","3,266","4,126","4,997","5,965","5,588","5,535","5,965","6,197","6,041",
Qatar,Gross Domestic Product (GDP) per Capita in US$,,"27,997","25,776","27,109","31,683","39,400","52,593","57,759","61,683","77,978","54,771","69,861","92,993","98,041","97,631","93,126","66,985","58,467","59,408","66,264","62,827","52,316",
Qatar,Population (in thousands),,646,679,713,749,778,849,"1,015","1,232","1,444","1,610","1,714","1,804","1,906","2,036","2,214","2,415","2,595","2,712","2,767","2,807","2,760",
Saudi Arabia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,3,4,4,3,4,4,4,4,4,5,6,6,6,6,,,
Saudi Arabia,Current Health Expenditure (CHE) per Capita in US$,,370,372,356,371,392,460,537,561,563,646,655,826,960,"1,059","1,231","1,198","1,241","1,261","1,291",,,
Saudi Arabia,Current Health Expenditure (CHE),in million current US$,"7,982","8,216","8,057","8,587","9,273","11,220","13,623","14,808","15,443","18,410","19,268","24,915","29,583","33,343","39,542","39,245","41,456","43,123","45,213",,,
Saudi Arabia,Gross Domestic Product (GDP) per Capita in US$,,"8,795","8,337","8,381","9,322","10,935","13,452","14,829","15,746","18,945","15,065","17,959","22,263","23,879","23,716","23,544","19,978","19,300","20,138","23,319",,,
Saudi Arabia,Population (in thousands),,"21,547","22,086","22,623","23,151","23,662","24,398","25,383","26,400","27,437","28,484","29,412","30,151","30,822","31,482","32,126","32,750","33,416","34,193","35,018","35,827","35,997",
Sudan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,3,3,4,4,4,5,6,5,6,5,6,6,7,6,7,5,6,4,5,3,
Sudan,Current Health Expenditure (CHE) per Capita in US$,,15,17,18,25,32,41,61,91,92,90,83,114,79,102,92,122,90,71,36,36,23,
Sudan,Current Health Expenditure (CHE),in million current US$,474,529,599,831,"1,107","1,440","2,211","3,366","3,516","3,505","3,324","3,732","2,784","3,684","3,447","4,690","3,558","2,897","1,492","1,555","1,037",
Sudan,Gross Domestic Product (GDP) per Capita in US$,,422,493,555,636,773,997,"1,250","1,600","1,700","1,401","1,637","2,034","1,396","1,463","1,629","1,679","1,639","1,199",796,777,775,
Sudan,Population (in thousands),,"31,100","31,900","32,700","33,600","34,474","35,300","36,218","37,159","38,126","39,117","40,134","32,661","35,056","36,164","37,289","38,435","39,599","40,783","41,985","43,222","44,345",
Syrian Arab Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,4,4,4,4,3,4,3,3,3,,,,,,,,,
Syrian Arab Republic,Current Health Expenditure (CHE) per Capita in US$,,55,59,64,61,61,63,64,72,83,88,89,75,63,,,,,,,,,
Syrian Arab Republic,Current Health Expenditure (CHE),in million current US$,890,980,"1,092","1,067","1,099","1,167","1,251","1,499","1,786","1,919","1,981","1,702","1,427",,,,,,,,,
Syrian Arab Republic,Gross Domestic Product (GDP) per Capita in US$,,"1,198","1,248","1,286","1,184","1,357","1,528","1,704","1,945","2,448","2,479","2,707","2,960","2,072",,,,,,,,,
Syrian Arab Republic,Population (in thousands),,"16,308","16,728","17,164","17,611","18,084","18,584","19,432","20,703","21,474","21,827","22,338","22,731","22,606","21,496","20,072","19,205","18,964","18,983","19,333","20,098","20,773",
Tunisia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,5,6,6,6,7,6,6,6,6,6,5,6,
Tunisia,Current Health Expenditure (CHE) per Capita in US$,,110,113,123,147,165,168,176,200,228,228,238,267,266,281,284,247,238,221,212,190,222,
Tunisia,Current Health Expenditure (CHE),in million current US$,"1,084","1,125","1,243","1,500","1,701","1,742","1,850","2,113","2,430","2,464","2,592","2,947","2,976","3,171","3,243","2,859","2,776","2,608","2,534","2,286","2,696",
Tunisia,Gross Domestic Product (GDP) per Capita in US$,,"2,277","2,316","2,405","2,825","3,178","3,259","3,440","3,858","4,406","4,227","4,241","4,362","4,234","4,308","4,399","3,961","3,796","3,570","3,577","3,467","3,495",
Tunisia,Population (in thousands),,"9,893","9,995","10,095","10,194","10,292","10,388","10,484","10,580","10,680","10,785","10,895","11,033","11,174","11,300","11,429","11,558","11,686","11,811","11,933","12,049","12,162",
United Arab Emirates,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,3,3,2,2,2,3,3,4,4,4,3,4,4,4,3,4,4,4,6,
United Arab Emirates,Current Health Expenditure (CHE) per Capita in US$,,753,743,821,863,911,979,"1,054","1,127","1,322","1,285","1,325","1,501","1,481","1,602","1,656","1,439","1,376","1,726","1,915","1,947","2,192",
United Arab Emirates,Current Health Expenditure (CHE),in million current US$,"2,467","2,567","2,984","3,291","3,640","4,191","5,165","6,617","9,239","10,269","11,240","12,870","12,830","14,017","14,635","12,834","12,375","15,654","17,503","17,936","20,356",
United Arab Emirates,Gross Domestic Product (GDP) per Capita in US$,,"31,720","29,909","30,222","32,607","37,018","42,191","45,340","43,918","45,141","31,723","34,166","40,893","43,230","44,574","45,625","40,164","39,697","42,522","46,193","45,292","38,641",
United Arab Emirates,Population (in thousands),,"3,275","3,454","3,634","3,813","3,993","4,281","4,899","5,873","6,989","7,993","8,482","8,575","8,665","8,752","8,836","8,917","8,994","9,068","9,140","9,212","9,287",
Yemen,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,6,6,5,6,6,6,6,5,5,5,5,5,4,,,,,,
Yemen,Current Health Expenditure (CHE) per Capita in US$,,24,25,26,34,37,41,48,56,66,63,64,61,70,74,75,63,,,,,,
Yemen,Current Health Expenditure (CHE),in million current US$,450,487,517,678,765,872,"1,055","1,261","1,551","1,504","1,595","1,561","1,839","2,005","2,093","1,805",,,,,,
Yemen,Gross Domestic Product (GDP) per Capita in US$,,517,515,544,583,669,786,869,956,"1,154","1,046","1,249","1,285","1,350","1,498","1,558","1,488",,,,,,
Yemen,Population (in thousands),,"18,629","19,143","19,661","20,189","20,733","21,321","21,966","22,642","23,329","24,030","24,744","25,476","26,223","26,984","27,753","28,517","29,274","30,034","30,791","31,547","32,284",
Albania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,
Albania,Current Health Expenditure (CHE) per Capita in US$,,65,74,79,111,142,155,168,205,240,235,255,272,260,278,295,,,,,,,
Albania,Current Health Expenditure (CHE),in million current US$,207,233,247,345,435,470,506,610,710,690,744,789,751,801,852,,,,,,,
Albania,Gross Domestic Product (GDP) per Capita in US$,,"1,096","1,245","1,395","1,798","2,343","2,655","2,962","3,588","4,364","4,110","4,094","4,444","4,260","4,425","4,587","3,950","4,117","4,522","5,268","5,359","5,278",
Albania,Population (in thousands),,"3,182","3,154","3,124","3,093","3,063","3,033","3,003","2,976","2,952","2,931","2,913","2,901","2,892","2,887","2,884","2,882","2,881","2,879","2,877","2,874","2,867",
Andorra,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,5,6,5,5,6,6,8,8,7,7,7,7,7,7,7,7,9,
Andorra,Current Health Expenditure (CHE) per Capita in US$,,"1,287","1,336","1,486","1,773","1,990","2,214","2,139","2,489","3,046","3,025","3,797","3,957","3,030","3,057","3,114","2,730","2,797","2,910","3,188","3,062","3,337",
Andorra,Current Health Expenditure (CHE),in million current US$,85,91,105,131,153,177,172,195,232,223,272,279,215,218,223,196,203,215,239,234,259,
Andorra,Gross Domestic Product (GDP) per Capita in US$,,"21,620","22,809","24,785","31,954","37,630","39,584","43,085","50,563","53,721","49,751","48,191","51,361","44,905","44,735","45,619","38,870","39,904","40,632","42,905","41,329","36,865",
Andorra,Population (in thousands),,66,68,71,74,77,80,80,78,76,74,72,71,71,71,72,72,73,74,75,76,78,
Armenia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,8,7,6,6,6,5,7,8,9,9,9,10,10,10,10,10,10,11,12,
Armenia,Current Health Expenditure (CHE) per Capita in US$,,25,31,58,65,71,94,123,168,260,246,290,325,333,396,409,371,366,419,439,549,552,
Armenia,Current Health Expenditure (CHE),in million current US$,80,98,181,202,217,287,373,506,774,730,855,951,970,"1,148","1,182","1,068","1,050","1,195","1,246","1,550","1,547",
Armenia,Gross Domestic Product (GDP) per Capita in US$,,603,676,765,910,"1,167","1,608","2,110","3,064","3,909","2,917","3,143","3,463","3,644","3,833","4,017","3,666","3,680","4,042","4,392","4,829","4,506",
Armenia,Population (in thousands),,"3,169","3,133","3,105","3,084","3,066","3,047","3,026","3,004","2,983","2,964","2,946","2,929","2,914","2,901","2,890","2,879","2,866","2,852","2,837","2,821","2,806",
Austria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12
Austria,Current Health Expenditure (CHE) per Capita in US$,,"2,269","2,283","2,498","3,091","3,595","3,710","3,883","4,479","5,058","4,929","4,801","5,168","4,966","5,235","5,394","4,613","4,710","4,939","5,337","5,262","5,585","6,491"
Austria,Current Health Expenditure (CHE),in million current US$,"18,158","18,308","20,142","25,040","29,270","30,430","32,051","37,098","42,020","41,083","40,095","43,281","41,756","44,248","45,888","39,601","40,978","43,328","47,086","46,615","49,713","57,983"
Austria,Gross Domestic Product (GDP) per Capita in US$,,"24,654","24,624","26,588","32,378","37,022","38,541","40,740","46,986","52,004","48,201","46,970","51,543","48,691","50,899","52,021","44,493","45,496","47,563","51,593","50,234","48,675","53,321"
Austria,Population (in thousands),,"8,002","8,021","8,064","8,100","8,143","8,201","8,254","8,283","8,308","8,335","8,352","8,375","8,408","8,452","8,508","8,585","8,700","8,773","8,822","8,859","8,901","8,933"
Azerbaijan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,4,4,4,4,4,5,
Azerbaijan,Current Health Expenditure (CHE) per Capita in US$,,19,19,20,24,27,35,49,74,105,127,143,172,218,234,261,221,153,152,165,192,191,
Azerbaijan,Current Health Expenditure (CHE),in million current US$,155,157,170,199,231,300,434,658,947,"1,158","1,317","1,613","2,066","2,252","2,541","2,180","1,529","1,527","1,675","1,962","1,967",
Azerbaijan,Gross Domestic Product (GDP) per Capita in US$,,644,689,745,860,"1,014","1,530","2,394","3,723","5,428","4,857","5,727","7,047","7,346","7,713","7,723","5,381","3,796","4,058","4,640","4,708","4,151",
Azerbaijan,Population (in thousands),,"8,190","8,282","8,372","8,462","8,556","8,656","8,763","8,878","9,000","9,120","9,237","9,359","9,486","9,614","9,742","9,863","9,976","10,072","10,153","10,233","10,285",
Belarus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,6,6,6,6,6,5,5,6,5,5,6,5,6,6,6,6,6,6,
Belarus,Current Health Expenditure (CHE) per Capita in US$,,56,71,84,106,137,191,216,271,340,281,333,310,355,444,438,353,291,325,342,390,408,
Belarus,Current Health Expenditure (CHE),in million current US$,569,729,849,"1,064","1,373","1,896","2,130","2,665","3,325","2,742","3,238","3,011","3,445","4,302","4,246","3,424","2,821","3,152","3,318","3,775","3,931",
Belarus,Gross Domestic Product (GDP) per Capita in US$,,"1,052","1,252","1,489","1,831","2,393","3,144","3,870","4,764","6,416","5,214","5,881","6,363","6,776","7,793","8,130","5,820","4,916","5,637","6,192","6,658","6,370",
Belarus,Population (in thousands),,"10,256","10,201","10,135","10,066","10,000","9,935","9,875","9,826","9,788","9,758","9,731","9,707","9,694","9,691","9,694","9,701","9,708","9,708","9,696","9,674","9,634",
Belgium,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,
Belgium,Current Health Expenditure (CHE) per Capita in US$,,"1,850","1,880","2,085","2,815","3,313","3,406","3,546","4,065","4,654","4,638","4,531","4,930","4,694","4,942","5,064","4,433","4,530","4,762","5,142","4,984","5,009",
Belgium,Current Health Expenditure (CHE),in million current US$,"18,941","19,295","21,493","29,150","34,441","35,577","37,273","43,025","49,638","49,878","49,116","54,235","51,995","55,043","56,619","49,812","51,237","54,055","58,616","57,090","57,721",
Belgium,Gross Domestic Product (GDP) per Capita in US$,,"23,126","23,067","25,062","30,715","35,514","36,925","38,840","44,492","48,499","44,941","44,412","47,573","44,796","46,848","47,885","41,143","42,088","44,290","47,668","46,735","45,275",
Belgium,Population (in thousands),,"10,239","10,263","10,310","10,356","10,396","10,446","10,511","10,585","10,667","10,753","10,840","11,001","11,076","11,138","11,181","11,237","11,311","11,352","11,399","11,456","11,522",
Bosnia and Herzegovina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,7,8,9,9,9,10,10,9,9,9,9,9,9,9,9,9,9,9,10,
Bosnia and Herzegovina,Current Health Expenditure (CHE) per Capita in US$,,106,105,119,168,222,242,282,364,460,410,406,457,444,474,492,430,449,470,528,544,591,
Bosnia and Herzegovina,Current Health Expenditure (CHE),in million current US$,444,440,498,704,920,990,"1,143","1,460","1,813","1,588","1,548","1,710","1,633","1,715","1,758","1,516","1,564","1,616","1,795","1,828","1,963",
Bosnia and Herzegovina,Gross Domestic Product (GDP) per Capita in US$,,"1,329","1,379","1,598","2,026","2,452","2,671","3,070","3,823","4,745","4,539","4,504","4,977","4,683","5,019","5,187","4,599","4,859","5,256","5,936","6,011","6,010",
Bosnia and Herzegovina,Population (in thousands),,"4,179","4,195","4,198","4,184","4,143","4,094","4,058","4,008","3,943","3,878","3,811","3,743","3,674","3,618","3,571","3,524","3,481","3,440","3,400","3,361","3,318",
Bulgaria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,7,7,7,7,7,7,6,6,7,7,7,8,7,8,7,7,7,7,7,9,
Bulgaria,Current Health Expenditure (CHE) per Capita in US$,,95,120,148,196,233,268,294,361,456,459,485,556,559,547,605,521,562,625,690,698,857,
Bulgaria,Current Health Expenditure (CHE),in million current US$,774,977,"1,166","1,528","1,805","2,059","2,244","2,736","3,425","3,430","3,598","4,096","4,093","3,988","4,386","3,755","4,023","4,435","4,864","4,885","5,955",
Bulgaria,Gross Domestic Product (GDP) per Capita in US$,,"1,621","1,747","2,092","2,719","3,383","3,886","4,507","5,864","7,245","6,964","6,832","7,826","7,410","7,665","7,878","7,055","7,542","8,336","9,414","9,844","10,054",
Bulgaria,Population (in thousands),,"8,191","8,149","7,869","7,806","7,745","7,689","7,629","7,573","7,518","7,467","7,422","7,369","7,327","7,285","7,246","7,202","7,154","7,102","7,050","7,000","6,951",
Croatia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,7,6,6,7,7,7,7,8,8,8,8,8,6,7,7,7,7,7,7,8,
Croatia,Current Health Expenditure (CHE) per Capita in US$,,371,388,386,512,635,727,816,"1,041","1,259","1,188","1,126","1,132","1,030",890,909,796,841,903,"1,025","1,040","1,095",
Croatia,Current Health Expenditure (CHE),in million current US$,"1,669","1,668","1,664","2,205","2,733","3,135","3,519","4,491","5,428","5,118","4,847","4,858","4,404","3,793","3,862","3,361","3,524","3,750","4,207","4,240","4,442",
Croatia,Gross Domestic Product (GDP) per Capita in US$,,"4,856","5,418","6,288","8,126","9,745","10,620","11,794","14,036","16,408","14,637","14,043","14,725","13,375","13,817","13,735","11,872","12,479","13,532","15,162","15,270","14,096",
Croatia,Population (in thousands),,"4,498","4,295","4,305","4,305","4,306","4,311","4,312","4,314","4,312","4,310","4,303","4,290","4,276","4,262","4,247","4,225","4,191","4,154","4,105","4,076","4,058",
Cyprus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,6,5,5,5,5,6,6,7,6,7,7,7,7,7,7,7,7,8,
Cyprus,Current Health Expenditure (CHE) per Capita in US$,,751,782,890,"1,145","1,287","1,366","1,474","1,694","2,155","2,105","2,045","2,115","1,899","1,916","1,874","1,596","1,649","1,773","2,021","2,044","2,245",
Cyprus,Current Health Expenditure (CHE),in million current US$,518,546,628,817,930,"1,001","1,097","1,284","1,673","1,678","1,675","1,776","1,637","1,659","1,608","1,352","1,399","1,516","1,746","1,790","1,994",
Cyprus,Gross Domestic Product (GDP) per Capita in US$,,"14,139","14,649","15,857","20,318","23,808","25,130","26,979","31,625","35,836","32,566","31,381","32,789","28,977","27,592","26,954","23,416","24,684","26,692","29,518","29,408","27,743",
Cyprus,Population (in thousands),,690,698,706,714,723,733,744,758,776,797,819,840,862,866,858,847,848,855,864,876,888,
Czechia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,7,6,6,6,6,6,7,7,7,7,8,8,7,7,7,7,8,9,
Czechia,Current Health Expenditure (CHE) per Capita in US$,,343,389,498,641,746,853,942,"1,110","1,449","1,442","1,374","1,517","1,387","1,555","1,513","1,284","1,322","1,525","1,753","1,803","2,120",
Czechia,Current Health Expenditure (CHE),in million current US$,"3,525","3,976","5,078","6,530","7,609","8,696","9,632","11,384","14,991","15,037","14,374","15,904","14,575","16,347","15,905","13,532","13,948","16,136","18,602","19,202","22,670",
Czechia,Gross Domestic Product (GDP) per Capita in US$,,"6,015","6,627","8,058","9,820","11,752","13,447","15,285","18,547","22,895","19,896","19,984","21,891","19,881","20,130","19,915","17,843","18,597","20,667","23,464","23,709","22,942",
Czechia,Population (in thousands),,"10,278","10,232","10,201","10,193","10,195","10,199","10,224","10,254","10,343","10,426","10,462","10,487","10,505","10,516","10,512","10,538","10,554","10,579","10,610","10,650","10,694",
Denmark,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,9,9,9,9,9,9,10,11,11,10,11,10,10,10,10,10,10,10,11,11
Denmark,Current Health Expenditure (CHE) per Capita in US$,,"2,496","2,603","2,896","3,607","4,195","4,443","4,779","5,468","6,138","6,222","6,171","6,438","6,168","6,334","6,467","5,532","5,624","5,834","6,233","6,059","6,438","7,375"
Denmark,Current Health Expenditure (CHE),in million current US$,"13,304","13,922","15,546","19,419","22,642","24,042","25,937","29,787","33,609","34,291","34,156","35,801","34,423","35,489","36,391","31,309","32,099","33,538","36,033","35,178","37,489","43,071"
Denmark,Gross Domestic Product (GDP) per Capita in US$,,"30,799","30,807","33,276","40,512","46,571","48,872","52,121","58,641","64,531","58,287","58,177","61,864","58,623","61,326","62,729","53,478","54,863","57,773","61,725","59,862","61,154","67,997"
Denmark,Population (in thousands),,"5,330","5,349","5,368","5,384","5,398","5,411","5,427","5,447","5,476","5,511","5,535","5,561","5,581","5,603","5,627","5,660","5,707","5,749","5,781","5,806","5,823","5,840"
Estonia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,7,7,7,7,7,8,7
Estonia,Current Health Expenditure (CHE) per Capita in US$,,210,215,250,349,455,525,601,833,"1,039",963,926,"1,016","1,013","1,145","1,288","1,156","1,226","1,350","1,553","1,599","1,788","2,036"
Estonia,Current Health Expenditure (CHE),in million current US$,294,299,347,480,622,713,811,"1,118","1,390","1,286","1,235","1,351","1,343","1,511","1,694","1,520","1,613","1,776","2,049","2,118","2,376","2,708"
Estonia,Gross Domestic Product (GDP) per Capita in US$,,"4,061","4,491","5,326","7,180","8,890","10,379","12,609","16,713","18,165","14,705","14,652","17,459","17,370","19,025","20,241","17,409","18,293","20,465","23,113","23,434","23,063","27,264"
Estonia,Population (in thousands),,"1,401","1,393","1,384","1,375","1,366","1,359","1,351","1,343","1,338","1,336","1,333","1,330","1,325","1,320","1,316","1,315","1,316","1,316","1,319","1,325","1,329","1,330"
Finland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,8,8,8,8,8,8,8,9,9,9,10,10,10,10,9,9,9,9,10,
Finland,Current Health Expenditure (CHE) per Capita in US$,,"1,727","1,810","2,059","2,614","3,044","3,237","3,415","3,919","4,486","4,350","4,252","4,718","4,573","4,892","4,923","4,128","4,109","4,236","4,522","4,460","4,726",
Finland,Current Health Expenditure (CHE),in million current US$,"8,938","9,392","10,710","13,626","15,915","16,981","17,984","20,725","23,838","23,223","22,802","25,419","24,759","26,608","26,885","22,621","22,579","23,332","24,938","24,627","26,133",
Finland,Gross Domestic Product (GDP) per Capita in US$,,"24,346","24,968","26,998","32,928","37,772","39,055","41,223","48,477","53,773","47,482","46,506","51,150","47,709","49,893","50,328","42,802","43,815","46,413","49,989","48,629","49,162",
Finland,Population (in thousands),,"5,176","5,188","5,201","5,213","5,228","5,246","5,266","5,289","5,313","5,339","5,363","5,388","5,414","5,439","5,461","5,479","5,495","5,508","5,515","5,522","5,529",
France,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,11,11,11,11,11,12,
France,Current Health Expenditure (CHE) per Capita in US$,,"2,162","2,193","2,450","3,006","3,459","3,575","3,812","4,312","4,807","4,738","4,592","4,932","4,645","4,888","4,979","4,199","4,262","4,412","4,669","4,508","4,769",
France,Current Health Expenditure (CHE),in million current US$,"130,889","133,710","150,474","185,982","215,446","224,415","241,003","274,457","307,707","304,864","296,938","320,467","303,185","320,685","329,411","279,062","284,028","294,746","312,937","302,860","321,032",
France,Gross Domestic Product (GDP) per Capita in US$,,"22,556","22,592","24,443","29,816","34,027","34,998","36,700","41,804","45,781","41,972","40,910","44,094","41,112","42,864","43,164","36,703","37,110","38,844","41,640","40,622","39,072",
France,Population (in thousands),,"60,545","60,979","61,424","61,864","62,292","62,773","63,230","63,645","64,007","64,350","64,659","64,979","65,277","65,600","66,166","66,458","66,638","66,810","67,026","67,178","67,320",
Georgia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,8,8,8,8,8,7,8,10,9,8,8,8,8,7,8,7,7,7,8,
Georgia,Current Health Expenditure (CHE) per Capita in US$,,53,57,67,82,107,134,154,199,286,275,290,317,349,358,369,294,321,304,332,309,320,
Georgia,Current Health Expenditure (CHE),in million current US$,226,237,273,330,426,532,608,778,"1,111","1,059","1,111","1,211","1,327","1,355","1,393","1,110","1,211","1,146","1,252","1,164","1,205",
Georgia,Gross Domestic Product (GDP) per Capita in US$,,737,799,860,"1,021","1,321","1,664","2,024","2,677","3,390","2,871","3,191","3,953","4,334","4,540","4,670","3,965","4,015","4,306","4,665","4,635","4,208",
Georgia,Population (in thousands),,"4,265","4,144","4,061","4,018","3,989","3,961","3,934","3,906","3,880","3,855","3,837","3,822","3,804","3,786","3,774","3,771","3,771","3,772","3,772","3,771","3,766",
Germany,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,13,13
Germany,Current Health Expenditure (CHE) per Capita in US$,,"2,344","2,347","2,568","3,153","3,460","3,558","3,698","4,183","4,670","4,675","4,611","5,038","4,766","5,100","5,307","4,625","4,743","5,065","5,504","5,478","5,930","6,503"
Germany,Current Health Expenditure (CHE),in million current US$,"192,620","193,036","211,666","260,221","285,545","293,556","304,859","344,316","383,938","383,354","377,225","404,119","382,818","410,662","428,663","375,508","389,756","417,959","455,689","454,788","493,206","540,787"
Germany,Gross Domestic Product (GDP) per Capita in US$,,"23,709","23,654","25,212","30,309","34,100","34,507","36,327","41,616","45,553","41,600","41,560","46,737","43,909","46,369","48,152","41,351","42,225","44,726","48,039","46,836","46,249","50,786"
Germany,Population (in thousands),,"82,163","82,260","82,440","82,537","82,532","82,501","82,438","82,315","82,218","82,002","81,802","80,222","80,328","80,524","80,767","81,198","82,176","82,522","82,792","83,019","83,167","83,155"
Greece,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,8,8,8,8,9,8,8,9,9,10,9,9,8,8,8,8,8,8,8,10,
Greece,Current Health Expenditure (CHE) per Capita in US$,,885,"1,005","1,169","1,566","1,783","1,935","2,053","2,427","2,841","2,809","2,564","2,339","1,948","1,832","1,700","1,481","1,513","1,510","1,603","1,569","1,675",
Greece,Current Health Expenditure (CHE),in million current US$,"9,541","10,888","12,726","17,099","19,503","21,230","22,591","26,782","31,419","31,166","28,514","26,017","21,599","20,159","18,581","16,085","16,319","16,258","17,219","16,827","17,955",
Greece,Gross Domestic Product (GDP) per Capita in US$,,"12,224","12,579","14,195","18,539","22,025","22,596","24,857","28,897","32,177","29,862","26,722","25,442","21,831","21,712","21,549","18,022","17,911","18,559","19,742","19,128","17,618",
Greece,Population (in thousands),,"10,776","10,836","10,888","10,916","10,940","10,970","11,005","11,036","11,061","11,095","11,119","11,123","11,086","11,004","10,927","10,858","10,784","10,768","10,741","10,725","10,719",
Hungary,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,7,
Hungary,Current Health Expenditure (CHE) per Capita in US$,,313,360,473,683,798,895,893,"1,003","1,117",944,983,"1,063",961,991,"1,006",871,914,984,"1,080","1,054","1,163",
Hungary,Current Health Expenditure (CHE),in million current US$,"3,200","3,669","4,814","6,926","8,078","9,039","9,000","10,099","11,223","9,466","9,845","10,619","9,546","9,816","9,938","8,579","8,987","9,645","10,559","10,298","11,364",
Hungary,Gross Domestic Product (GDP) per Capita in US$,,"4,619","5,269","6,644","8,410","10,294","11,214","11,487","13,931","15,766","13,071","13,204","14,220","12,974","13,698","14,283","12,705","13,085","14,609","16,423","16,733","16,044",
Hungary,Population (in thousands),,"10,222","10,200","10,175","10,142","10,117","10,098","10,077","10,066","10,045","10,031","10,014","9,986","9,932","9,909","9,877","9,856","9,830","9,798","9,778","9,773","9,770",
Iceland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,9,9,10,9,9,9,8,8,9,8,8,8,8,8,8,8,8,8,9,10,10
Iceland,Current Health Expenditure (CHE) per Capita in US$,,"2,854","2,527","3,045","3,837","4,411","5,076","4,915","5,800","4,747","3,621","3,612","3,911","3,760","4,069","4,488","4,270","5,016","5,945","6,234","5,865","5,637","6,636"
Iceland,Current Health Expenditure (CHE),in million current US$,803,721,876,"1,112","1,290","1,508","1,495","1,809","1,508","1,154","1,150","1,249","1,207","1,318","1,470","1,414","1,684","2,043","2,200","2,116","2,067","2,458"
Iceland,Gross Domestic Product (GDP) per Capita in US$,,"32,067","28,870","32,378","39,439","47,289","56,739","57,438","69,432","56,889","41,262","43,197","47,673","45,958","49,765","54,534","52,913","61,944","71,962","74,414","68,795","58,976","68,746"
Iceland,Population (in thousands),,281,285,288,290,292,297,304,312,318,319,318,319,321,324,328,331,336,344,353,361,367,370
Ireland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,7,7,7,8,8,8,9,11,11,11,11,10,10,7,7,7,7,7,7,7
Ireland,Current Health Expenditure (CHE) per Capita in US$,,"1,565","1,824","2,200","2,911","3,483","3,938","4,147","4,859","5,639","5,503","5,133","5,558","5,222","5,329","5,330","4,561","4,709","5,010","5,484","5,431","6,092","6,700"
